bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
oms,Online Media Solutions,yes,yes,no,yes,check with bidder,yes,yes,tcfeu  usnat,yes,yes,check with bidder,yes,yes,id5Id  identityLink  pubProvidedId,yes,yes,yes,no,yes,check with bidder,,omsBidAdapter
onedisplay,ONE by AOL Display,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,aol,aolBidAdapter
onemobile,ONE by AOL Mobile,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,aol,aolBidAdapter
oneplanetonly,Oneplanetonly,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,oneplanetonlyBidAdapter
onetag,OneTag,yes,yes,yes,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-any",,onetagBidAdapter
onomagic,Onomagic,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,onomagicBidAdapter
opamarketplace,OpaMarketplace,yes,yes,no,yes,check with bidder,yes,no,some (check with bidder),yes,check with bidder,no,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,no,yes,no,no,no,"will-bid-on-one",,opaMarketplaceBidAdapter
open8,OPEN8,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,open8BidAdapter
openweb,OpenWeb,yes,yes,yes,yes,check with bidder,yes,yes,tcfeu  usstate_all  usp,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,openwebBidAdapter
openwebvideo,OpenWeb Video,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,aniview,aniviewBidAdapter
