bidder-code,bidder-name,banner,video,native,schain,dchain,tcfeu,coppa,gpp,usp,safeframes,deals,client-adapter,server-adapter,user-ids,mobile-apps,floors,fpd,prebid-member,ortb-blocking,multiformat,aliasOf,adapterFilename
relevantdigital,Relevant Digital,yes,yes,yes,yes,check with bidder,yes,no,check with bidder,yes,yes,yes,yes,yes,all,yes,yes,yes,yes,no,"true",,relevantdigitalBidAdapter
relevatehealth,RelevateHealth,yes,no,no,no,check with bidder,no,yes,usstate_all,yes,check with bidder,yes,yes,no,none,check with bidder,yes,check with bidder,no,no,check with bidder,,relevatehealthBidAdapter
resetdigital,ResetDigital,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,yes,yes,yes,check with bidder,yes,yes,check with bidder,no,check with bidder,"will-bid-on-any",,resetdigitalBidAdapter
responsiveads,ResponsiveAds,yes,no,no,no,no,no,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,responsiveadsBidAdapter
retailspot,RetailSpot,yes,yes,no,no,check with bidder,no,no,check with bidder,yes,yes,yes,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,retailspotBidAdapter
revbid,RevBid,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
revcontent,RevContent,yes,no,yes,check with bidder,check with bidder,no,no,check with bidder,no,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,revcontentBidAdapter
revnew,Revnew,yes,yes,yes,yes,no,yes,check with bidder,tcfeu,yes,yes,yes,yes,yes,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,revnewBidAdapter
rexrtb,REXRTB,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,rexrtbBidAdapter
rhythmone,RhythmOne,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,rhythmoneBidAdapter
richaudience,Rich Audience,yes,yes,no,yes,check with bidder,yes,check with bidder,some (check with bidder),check with bidder,check with bidder,check with bidder,yes,yes,criteo  id5Id  identityLink  liveIntentId  pubCommonId  unifiedId,check with bidder,yes,check with bidder,yes,check with bidder,check with bidder,,richaudienceBidAdapter
ringieraxelspringer,RingierAxelSpringer,yes,no,yes,no,no,yes,no,None,no,check with bidder,no,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,ringieraxelspringerBidAdapter
rise,Rise,yes,yes,yes,yes,check with bidder,yes,yes,tcfeu  usstate_all  usp,yes,check with bidder,check with bidder,yes,yes,all,yes,yes,check with bidder,no,check with bidder,"will-bid-on-any",,riseBidAdapter
risemediatech,RiseMediaTech,yes,yes,no,yes,check with bidder,no,check with bidder,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,risemediatechBidAdapter
risexchange,RiseXChange,yes,yes,yes,yes,check with bidder,yes,yes,tcfeu  usstate_all  usp,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-any",,risexchangeBidAdapter
rixengine,RixEngine,yes,no,no,no,check with bidder,no,yes,check with bidder,check with bidder,check with bidder,no,yes,no,sharedId,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,,rixengineBidAdapter
robustApps,RobustApps,yes,yes,no,yes,no,no,yes,check with bidder,yes,yes,yes,yes,yes,none,check with bidder,yes,no,no,yes,"will-bid-on-any",,robustAppsBidAdapter
robusta,Robusta,yes,yes,no,check with bidder,check with bidder,no,check with bidder,None,no,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,robustaBidAdapter
rocketlab,RocketLab,yes,yes,yes,yes,check with bidder,no,yes,usstate_all,yes,yes,no,yes,yes,all,no,yes,no,no,no,"will-bid-on-one",,rocketlabBidAdapter
rockyou,RockYou,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,rockyouBidAdapter
roundel,Roundel,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,identityLink  netId  fabrickId  zeotapIdPlus,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,ix,ixBidAdapter
rtbanalytica,RtbAnalytica,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
rtbdemand,Rtb Demand,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
rtbdemand_com,RtbDemand.com,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
rtbhouse,RTBHouse,yes,no,yes,yes,check with bidder,yes,no,some (check with bidder),no,yes,check with bidder,yes,yes,id5Id  identityLink  pubProvidedId,yes,yes,yes,yes,partial,"will-bid-on-any",,rtbhouseBidAdapter
rtbsape,RtbSape,yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,rtbsapeBidAdapter
rtbstack,RTB Stack,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,no,AdmixerID,check with bidder,yes,check with bidder,yes,check with bidder,"will-bid-on-any",admixer,admixerBidAdapter
rubicon,Rubicon Project,yes,yes,yes,yes,check with bidder,yes,yes,tcfeu  usnat  usstate_all  usp,yes,yes,yes,yes,yes,all,yes,yes,yes,yes,partial,"will-bid-on-one",,rubiconBidAdapter
rumble,Rumble Advertising Center,yes,yes,no,no,no,no,no,none,yes,yes,check with bidder,yes,no,none,check with bidder,yes,no,no,no,"will-bid-on-one",,rumbleBidAdapter
,RxNetwork,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,yes,none,yes,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
rxrtb,rxrtb,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,rxrtbBidAdapter
sa_lunamedia,SA Lunamedia,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,no,yes,none,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,,sa_lunamediaBidAdapter
saambaa,Saambaa,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,saambaaBidAdapter
sara,SARA,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,saraBidAdapter
scalibur,Scalibur,yes,yes,no,yes,no,no,yes,tcfeu  usstate_all  usp,check with bidder,yes,no,yes,no,all,no,yes,yes,no,no,"will-bid-on-any",,scaliburBidAdapter
scattered,Scattered,yes,no,no,no,check with bidder,yes,no,check with bidder,no,check with bidder,no,yes,no,none,check with bidder,no,no,no,no,"will-bid-on-one",,scatteredBidAdapter
scoremedia,scoremedia,yes,yes,yes,yes,no,yes,check with bidder,some (check with bidder),yes,yes,yes,yes,no,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,scoremediaBidAdapter
screencore,Screencore,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,yes,yes,yes,all,check with bidder,yes,no,no,yes,"will-bid-on-one",,screencoreBidAdapter
seedingAlliance,Seeding Alliance,yes,no,yes,no,no,yes,no,check with bidder,no,yes,no,yes,yes,none,no,yes,no,no,check with bidder,check with bidder,,seedingAllianceBidAdapter
seedtag,seedtag,yes,yes,no,yes,check with bidder,yes,yes,some (check with bidder),yes,yes,check with bidder,yes,yes,none,no,yes,check with bidder,no,partial,check with bidder,,seedtagBidAdapter
selectmedia,Select Media Display,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,some (check with bidder),check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,adtelligent,adtelligentBidAdapter
selectmediavideo,SelectMedia Video,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,aniview,aniviewBidAdapter
setupad,Setupad,yes,no,no,no,no,yes,no,check with bidder,yes,check with bidder,no,yes,no,none,no,no,no,yes,check with bidder,check with bidder,,setupadBidAdapter
sevio,Sevio,yes,no,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,no,yes,no,none,check with bidder,check with bidder,no,no,no,check with bidder,,sevioBidAdapter
sharethrough,Sharethrough,yes,yes,yes,yes,check with bidder,yes,yes,some (check with bidder),yes,yes,check with bidder,yes,yes,all,check with bidder,yes,yes,yes,partial,check with bidder,,sharethroughBidAdapter
shinez,Shinez,yes,yes,yes,yes,check with bidder,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,shinezBidAdapter
shinezRtb,ShinezRTB,yes,yes,no,yes,check with bidder,yes,no,some (check with bidder),yes,check with bidder,no,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,no,yes,no,no,no,"will-bid-on-one",,shinezRtbBidAdapter
showheroes-bs,ShowHeroes,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,none,check with bidder,yes,yes,no,check with bidder,"will-bid-on-one",,showheroes-bsBidAdapter
silvermob,SilverMob,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,yes,yes,yes,none,check with bidder,yes,no,yes,check with bidder,"will-bid-on-one",,silvermobBidAdapter
silverpush,Silverpush,yes,yes,no,yes,check with bidder,no,yes,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,none,check with bidder,yes,no,no,check with bidder,"will-bid-on-one",,silverpushBidAdapter
slimcut,Slimcut,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,slimcutBidAdapter
smaato,Smaato,yes,yes,yes,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,all,yes,yes,yes,yes,check with bidder,check with bidder,,smaatoBidAdapter
smartadline,smartadline,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,no,yes,no,none,check with bidder,no,no,no,check with bidder,check with bidder,,smartadlineBidAdapter
smartadserver,Smart AdServer,yes,yes,yes,yes,no,yes,yes,tcfca  tcfeu  usnat  usstate_all  usp,yes,yes,yes,yes,yes,all,yes,yes,yes,no,yes,"will-bid-on-any",,smartadserverBidAdapter
smarthub,Attekmi,yes,yes,yes,yes,check with bidder,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,none,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,,smarthubBidAdapter
smartico,smartico,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,smarticoBidAdapter
smartx,smartx,no,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,none,check with bidder,no,check with bidder,yes,check with bidder,check with bidder,,smartxBidAdapter
smartyads,SmartyAds,yes,yes,yes,yes,check with bidder,yes,yes,usnat  usstate_all  usp,yes,yes,yes,yes,yes,none,check with bidder,check with bidder,no,no,check with bidder,"will-bid-on-one",,smartyadsBidAdapter
,SmartyExchange,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
smartytech,SmartyTech,yes,yes,no,check with bidder,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,check with bidder,check with bidder,no,check with bidder,"will-bid-on-one",,smartytechBidAdapter
smilewanted,Smile Wanted,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,yes,yes,yes,all,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-one",,smilewantedBidAdapter
smn,SMN,yes,yes,no,yes,check with bidder,yes,no,check with bidder,yes,check with bidder,yes,yes,no,none,check with bidder,check with bidder,no,no,no,check with bidder,admixer,admixerBidAdapter
smoot,Smoot,yes,yes,yes,yes,check with bidder,no,yes,usstate_all,yes,yes,no,yes,yes,all,no,yes,no,no,no,"will-bid-on-one",,smootBidAdapter
smootai,SmootAI,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
smrtconnect,Smrtconnect,yes,yes,yes,yes,no,no,yes,none,yes,check with bidder,yes,no,yes,none,yes,yes,no,no,yes,"will-bid-on-one",,smrtconnectBidAdapter
snigel,Snigel,yes,no,no,yes,check with bidder,yes,yes,some (check with bidder),yes,check with bidder,no,yes,no,none,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,snigelBidAdapter
somoaudience,Somo Audience,yes,yes,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,no,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,somoaudienceBidAdapter
sonic_twist,Sonic Twist Media,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
sonobi,Sonobi,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId  lotamePanoramaID,yes,yes,check with bidder,no,check with bidder,check with bidder,,sonobiBidAdapter
sovrn,Sovrn,yes,yes,no,yes,check with bidder,yes,check with bidder,some (check with bidder),yes,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,check with bidder,yes,check with bidder,check with bidder,,sovrnBidAdapter
sparteo,Sparteo,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,no,yes,yes,none,check with bidder,yes,no,no,no,"will-bid-on-any",,sparteoBidAdapter
spinx,SpinX,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
spm,Sportplatz Media,yes,yes,yes,yes,no,yes,check with bidder,some (check with bidder),yes,yes,yes,yes,no,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,spmBidAdapter
spotx,SpotX,no,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,id5Id  sharedId  unifiedId,check with bidder,yes,check with bidder,yes,check with bidder,check with bidder,,spotxBidAdapter
ssmas,SSMas,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,yes,no,yes,no,sharedId,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,ssmasBidAdapter
sspBC,sspBC,yes,yes,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,yes,none,check with bidder,yes,check with bidder,no,check with bidder,check with bidder,,sspBCBidAdapter
ssp_geniee,Geniee SSP,yes,no,no,no,no,no,no,none,no,check with bidder,no,yes,no,none,check with bidder,no,no,no,partial,"will-bid-on-one",,ssp_genieeBidAdapter
stackadapt,StackAdapt,yes,yes,no,yes,no,yes,yes,tcfeu  tcfca  usnat  usstate_all  usp,yes,check with bidder,yes,yes,no,none,check with bidder,yes,yes,no,yes,"will-bid-on-any",,stackadaptBidAdapter
stailamedia,stailamedia,yes,yes,yes,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,yes,yes,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,"will-bid-on-any",appnexus,appnexusBidAdapter
startio,Start.io,yes,yes,yes,no,check with bidder,yes,yes,None,yes,check with bidder,check with bidder,yes,yes,none,check with bidder,yes,no,no,yes,"will-bid-on-any",,startioBidAdapter
stellorMediaRtb,Stellor Media Rtb,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,no,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
stellormedia,StellorMedia,yes,yes,no,yes,check with bidder,no,yes,usp,yes,yes,no,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,adtelligent,adtelligentBidAdapter
stickyadstv,StickyAdsTv,yes,no,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,stickyadstvBidAdapter
stn,STN,yes,yes,yes,yes,check with bidder,no,check with bidder,tcfeu  usstate_all  usp,yes,check with bidder,check with bidder,yes,no,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",,stnBidAdapter
streamkey,Streamkey,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,some (check with bidder),check with bidder,check with bidder,check with bidder,yes,yes,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,adtelligent,adtelligentBidAdapter
streamlyn,Streamlyn,yes,yes,yes,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,no,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
streamvision,Streamvision,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
stroeerCore,StroeerCore,yes,yes,no,yes,check with bidder,yes,no,check with bidder,no,yes,yes,yes,yes,criteo  id5Id  netId  pubCommonId  sharedId,yes,yes,no,no,check with bidder,"will-bid-on-one",,stroeerCoreBidAdapter
stv,SMARTSTREAM.TV,yes,yes,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,stvBidAdapter
sublime,Sublime,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,sublimeBidAdapter
suim,Suim,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,suimBidAdapter
suntContent,SUNT Content,yes,no,yes,no,no,yes,no,check with bidder,no,yes,no,yes,yes,none,no,yes,no,no,check with bidder,check with bidder,,suntContentBidAdapter
supply2,Supply2,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,supply2BidAdapter
synacormedia,Synacor Media,yes,yes,no,yes,no,no,no,check with bidder,yes,yes,no,yes,yes,all,yes,yes,no,no,no,"will-bid-on-any",advertising,advertisingBidAdapter
taboola,Taboola,yes,no,no,no,yes,yes,yes,some (check with bidder),yes,yes,no,yes,yes,taboolaId,yes,yes,yes,yes,partial,"will-not-bid",,taboolaBidAdapter
tadvertising,T-Advertising Solutions,yes,yes,no,yes,no,yes,no,None,no,check with bidder,no,yes,no,unifiedId,no,yes,no,no,yes,"will-not-bid",,tadvertisingBidAdapter
tagoras,Tagoras,yes,yes,no,yes,check with bidder,yes,no,some (check with bidder),yes,check with bidder,no,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,yes,yes,no,no,no,"will-bid-on-one",,tagorasBidAdapter
talkads,Talkads,yes,no,yes,check with bidder,check with bidder,yes,no,check with bidder,no,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,talkadsBidAdapter
tapnative,Tapnative,yes,no,yes,no,check with bidder,no,yes,usstate_all,yes,check with bidder,yes,yes,no,none,check with bidder,yes,check with bidder,no,no,check with bidder,,tapnativeBidAdapter
tappx,tappx,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,,tappxBidAdapter
targetVideo,TargetVideo,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,targetVideoBidAdapter
teads,Teads,yes,yes,no,yes,check with bidder,yes,yes,tcfeu  tcfca  usnat  usstate_all  usp,yes,check with bidder,yes,yes,yes,uid2Id  identityLinkId  lotamePanoramaId  id5Id  criteoId  connectId  publinkId  sharedId  merkleId  kinessoId,yes,yes,no,yes,yes,"will-not-bid",,teadsBidAdapter
teal,Teal,yes,no,no,yes,yes,yes,yes,tcfeu  tcfca  usnat  usstate_all  usp,yes,yes,yes,yes,no,all,check with bidder,yes,yes,yes,yes,"will-bid-on-any",,tealBidAdapter
telaria,Telaria,no,yes,no,yes,check with bidder,yes,no,check with bidder,no,check with bidder,no,yes,no,none,no,no,no,yes,check with bidder,check with bidder,,telariaBidAdapter
temedya,TE Medya,yes,no,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,temedyaBidAdapter
tgm,TGM,yes,yes,no,yes,check with bidder,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,no,no,no,yes,"will-bid-on-one",limelightDigital,limelightDigitalBidAdapter
theadx,TheAdx,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,yes,yes,yes,all,yes,yes,no,no,yes,"will-not-bid",,theAdxBidAdapter
theads,The Ads,yes,yes,yes,yes,check with bidder,no,check with bidder,check with bidder,yes,yes,check with bidder,yes,no,none,check with bidder,yes,check with bidder,yes,check with bidder,"will-bid-on-any",admixer,admixerBidAdapter
themoneytizer,The Moneytizer,yes,no,no,yes,check with bidder,yes,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,themoneytizerBidAdapter
topon,TopOn,yes,no,no,yes,no,no,yes,check with bidder,check with bidder,check with bidder,no,yes,no,none,no,check with bidder,no,no,no,check with bidder,,toponBidAdapter
tpmn,TPMN,yes,yes,yes,yes,check with bidder,no,yes,some (check with bidder),yes,yes,check with bidder,yes,yes,none,yes,no,no,no,yes,"will-bid-on-one",,tpmnBidAdapter
tradplus,TradPlus,yes,yes,yes,yes,no,no,yes,None,yes,check with bidder,yes,no,yes,none,yes,yes,no,no,partial,"will-bid-on-any",,tradplusBidAdapter
trafficgate,TrafficGate,yes,yes,no,yes,no,no,yes,check with bidder,yes,yes,yes,yes,yes,none,yes,no,no,yes,yes,"will-bid-on-any",,trafficgateBidAdapter
trafficroots,Trafficroots,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,trafficrootsBidAdapter
tredio,Tredio,yes,yes,yes,yes,yes,no,yes,check with bidder,yes,yes,yes,yes,yes,none,yes,yes,no,no,check with bidder,"true",smarthub,smarthubBidAdapter
tremor,Tremor,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,tremorBidAdapter
trion,Trion Interactive,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,trionBidAdapter
triplelift,TripleLift,yes,yes,no,yes,check with bidder,yes,yes,some (check with bidder),yes,yes,yes,yes,yes,criteo  identityLink  unifiedId  pubCommonId,yes,yes,yes,yes,check with bidder,check with bidder,,tripleliftBidAdapter
triplelift_native,TripleLift Native,no,no,yes,yes,check with bidder,yes,yes,check with bidder,yes,yes,yes,no,yes,criteo  identityLink  unifiedId,yes,yes,yes,yes,check with bidder,check with bidder,,triplelift_nativeBidAdapter
truereach,TrueReach,yes,no,no,check with bidder,check with bidder,no,check with bidder,check with bidder,check with bidder,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,truereachBidAdapter
trustedstack,TrustedStack,yes,yes,yes,yes,check with bidder,no,yes,some (check with bidder),yes,yes,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",medianet,medianetBidAdapter
trustx,TrustX,yes,yes,no,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,all,check with bidder,yes,yes,no,check with bidder,"will-bid-on-any",grid,gridBidAdapter
trustx,TrustX (standalone),yes,yes,no,check with bidder,check with bidder,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,none,check with bidder,check with bidder,yes,no,check with bidder,"will-bid-on-any",,trustxBidAdapter
ttd,The Trade Desk,yes,yes,no,yes,no,yes,yes,check with bidder,yes,check with bidder,yes,yes,yes,all,yes,yes,no,yes,yes,"will-not-bid",,ttdBidAdapter
turktelekom,Türk Telekom,yes,yes,yes,yes,no,yes,yes,tcfeu  usp,yes,yes,no,yes,no,none,no,yes,yes,no,yes,"will-bid-on-any",adkernel,adkernelBidAdapter
twistdigital,Twist Digital,yes,yes,no,yes,check with bidder,yes,no,some (check with bidder),yes,check with bidder,no,yes,no,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,yes,check with bidder,no,check with bidder,"will-bid-on-one",,twistdigitalBidAdapter
ucfunnel,ucfunnel,yes,yes,yes,yes,check with bidder,yes,yes,check with bidder,yes,check with bidder,check with bidder,yes,yes,unifiedId,yes,check with bidder,check with bidder,no,check with bidder,check with bidder,,ucfunnelBidAdapter
underdogmedia,Underdog Media,yes,no,no,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,no,33acrossId  pubCommonId  unifiedId,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,underdogmediaBidAdapter
undertone,Undertone,yes,yes,no,yes,check with bidder,yes,check with bidder,check with bidder,yes,check with bidder,check with bidder,yes,yes,britepoolId  criteo  id5Id  identityLink  liveIntentId  netId  parrableId  pubCommonId  unifiedId,check with bidder,check with bidder,check with bidder,no,check with bidder,check with bidder,,undertoneBidAdapter
